0.0 Could you try european? I'd like a booking for the same group of people at 17:45 on the same day.	1.0 I am unable to get a reservation for 2 at 17:45. Should I try a different time?
0.0  Good gracious ! You certainly are lucky . How are you going there ? 	1.0  By air , of course . It takes over two weeks to go by sea . 
0.0  I don't want to make a bad impression . 	1.0  Come on over . This is your desk , and this is your time card . Be sure to clock in and out before and after you work . 
0.0 As you know I ’ Ve been thinking about moving my career in a new direction . I am hoping that you will be able to provide me with a reference to help me jump-start my future . 	1.0  I realize that I ’ m not in a position to offer you the kind of promotion you deserve I'll gladly do what I can to help . 
0.0  Yeah , let's go together . 	1.0  Would you like to go now or later ? 
0.0 I was looking for the Resume Writing Workshop . 	1.0  You came to the right spot . Come on in and join us ! 
0.0  I want to be a part of history . 	1.0  Good for you . 
0.0 Fine	1.0 😄
0.0 What is your favorite movie?	1.0 1+1
0.0 My husband's family will be with us for a birthday dinner, so how about Italian. They are from an italian family.	1.0 Okay, how about Caffe Uno located on 32 Bridge Street?
0.0 Partner found!	1.0 Searching for peer. Please wait...
0.0  Well , may I leave a message ? 	1.0  Yes , of course . 
0.0 Can we increase the amount of people to 8?	1.0 No problem, the fee is 64.64 and reference number is B5JCS4TL .
0.0 Hey! 👋 	1.0 
0.0 How is your day? 🤔	1.0 Are you an idiot?
0.0 i know about <num> of the language	1.0 wow cool. i'm studying spanish
0.0 Can you try for 12:00?	1.0 I'm sorry 12:00 is not available either, would you like to try another time or different restaurant possibly?
0.0 I need to find the nearest police station.	1.0 The Parkside Police station is located at postcode CB11JG, Parkside Cambridge. Anything else I can help you with?
0.0 pretty okay too . do you work ?	1.0 And you?
0.0  I liked physics . It ’ s all math , really , arcs , curves , velocity , cool stuff . 	1.0  Yeah , yeah , but today ’ s lesson was all about the creation of the universe . 
0.0 I'd like to go from Broxbourne to Cambridge on Monday.	1.0 Hi, we have several trains leaving on monday. Is there a particular time of day, you'd like to leave?
0.0 No that was it, thank you.	1.0 Thank you, goodbye.
0.0 No that is all. Thank you	1.0 Enjoy your stay in cambridge.
0.0 3 nights starting on Saturday, can I get the reference number as well? We are also looking for an attraction called Camboats, can you help me?	1.0 You are booked at Archway House. Your reference number is 2G8LC07R . Camboats is a boating attraction in the east. What other information do you need?
0.0 I'm also looking for a guesthouse that includes free parking. Can you help me?	1.0 Definitely. Are you interested in a particular area or price range?
0.0 yes	1.0 I understand.
0.0 do you have siblings?	1.0 no , i grew up alone until i got my dog socks 😘
0.0 No, thank you goodbye	1.0 Have a great day and enjoy your food.
0.0 What are u doing for living?	1.0 do u have kids*
0.0 What is the train ID?	1.0 The train ID is TR8259.
0.0 I also am looking for a train on wednesday leaving peterborough.	1.0 Did you have a destination or time in mind?
0.0 Yes please book 2 tickets.	1.0 Let's try and narrow this down some. What time do you want to depart or what time do you want to arrive by?
0.0 The hotel operator . Anything I can do for you ? 	1.0  I've been trying to get through to the booking office for the last ten minutes . But the line has been engaged all the time . Why is it taking so long ? 
0.0 What is their address and phone number?	1.0 Little Seoul is located at 108 Regent Street City Centre and their telephone number is 01223 308681.
0.0 What is the phone number?	1.0 01223 727410
0.0  we do actually . We can add that as an amendment to your contract . 	1.0  how many days of paternity leave do you offer ? 
0.0 Nothing in the south?	1.0 I was not able to find any expensive european restaurants in the south.
0.0 Grandpa , this restaurant looks really old ! How long ago was it built ? 	1.0  I'm not sure when it started . But I know it's older than me . As a young boy , I used to eat here a lot . 
0.0 How about a swimming pool?	1.0 There is parkside pools. Their address is gonville place.
0.0 Hi, I'm looking for a hotel by the name of Acorn Guest House.	1.0 Sure, what would you like to know about it?
0.0 This is your profile. During the dialog pretend to be this person	1.0 my favorite color is navy blue.
0.0 i work fulltime in a shipyard.	1.0 
0.0 i donate a part of my salary to charity each month.	1.0 
0.0 i volunteer my time with a local bunny rescue.	1.0 
0.0 I would like to book at the la tasce for sunday.	1.0 I can help you with that. How many people in your party, and at what time?
0.0 Hey, are you here? What's up?	1.0 Great! I'm not working
0.0 It will be on Friday.	1.0 I have trains departing as early as 05:11 in the morning and as late as 23:11 in the evening. Any time preferences?
0.0  Tom is making so much noise . I have not a bit of peace and quiet all evening . 	1.0  You can talk with him . 
0.0 Searching for peer. Please wait...	1.0 Partner found!
0.0 how old are you?	1.0 I'm 5 years old.
0.0 What area are they located?	1.0 Clare College is in the west.
0.0 OK, thanks for everything.	1.0 Is there anything else I can help you with today?
0.0 What are the seasons like in your city ? 	1.0  Summers are hot and usually lasts a long time . Winters are short , but cold , wet , and windy . I love the summers in my city , but I hate the wintertime . 
0.0 Yes, that will be fine. I will need a reservation starting on Wednesday.	1.0 How many days did you want the booking for? And for how many people?
0.0 I also need a 4 star expensive place to stay.	1.0 I have one in the west and one in the centre. Do you have a preference?
0.0 I also need a train on Wednesday, leaving from Kings Lynn.	1.0 When would you like to leave or arrive in Cambridge by?
0.0 Was there an entrance fee to that nightclub?	1.0 The entrance fee is not available. Is there anything else I can help you with today?
0.0 What time does it depart?	1.0 51 minutes is the length of the ride, anything else today?
0.0 Could you help me find a place to stay with free parking and free wifi?	1.0 I love the acorn guest house. Need me to book a room?
0.0 Hello!	1.0 do you have any animals ?
0.0  I think that's a bunch of nonsense . It seemed ok to me . 	1.0  I know . Last week he gave me a lie about being too busy . 
0.0 yea   i love dogs   i am actually in college and i ride my bike to class  	1.0 thats nice. i walk to school while drinking coffee
0.0 That was all, thank you for your help.	1.0 Have a pleasant stay at the Ashley and a wonderful trip. Thank you for contacting Cambridge TownInfo centre. Goodbye.
0.0 No, thank you. I have everything I need. Goodbye.	1.0 Great! Thank you for calling and have a great trip! Goodbye.
0.0 This is the schedule for the project . Any comments or questions ? 	1.0  I think we'll need more time than the schedule gives us . 
0.0 That sounds like a good one. Can I please have the reference number?	1.0 Train TR7759 is leaving on Thursday at 15:29 to arrive by 16:07.
0.0 I will be coming from Kings Lynn.	1.0 Great! When would you like to arrive in Cambridge?
0.0 I do not care as long as it is moderately priced and has free parking.	1.0 Arbury lodge guesthouse is in the north part of town, would you like to book there?
0.0 i love running and preparing for marathons.	1.0 😉
0.0 I'm looking for a places to go and see during my upcoming trip to Cambridge.	1.0 What area of town would you like?
0.0 That sounds great! Could you give me the address?	1.0 Of course, the address is 40270 King Street City Centre. Would you like me to try and book you a reservation?
0.0  What were you thinking ? 	1.0  You know my father . If I fail , he'll kill me . I have to do well . 
0.0 Yes. I am also looking for a train to Cambridge. I am leaving from Broxbourne.	1.0 Train TR5570 is what you're looking for!
0.0 I'm looking for info on museum of classical archaeology	1.0 It's a free museum on Sidgwick Avenue in the west part of town. Lots of interesting things there.
0.0  We'll send a squad car shortly . 	1.0  I'd appreciate that . 
0.0 Nope that should be it thanks	1.0 Booking was successful, the total fee is 118 GBP payable at the station
0.0 Yes that sounds perfect!	1.0 Great, how many tickets for the train would you like?
0.0 Hello! How is your day going? 😊	1.0 Hi! The day is fine. What about yours?
0.0 Are any of the 29 places, guest houses? I would actually prefer a hotel rather than a guest house.	1.0 There are 8 hotels that match that description. Did you have a price range or area in mind?
0.0 I need a 3 star hotel in Cambridge, that offers a guesthouse, can you book it for me ?	1.0 Yes, hamilton lodge is located on 156 chesterton road.
0.0 Hi , Tina , it's Joe . 	1.0  Hi , Joe . 
0.0  I'm try to write a letter to one of our clients , But I just don't know exactly what to say , I don't even know how to get started , I know I should write dear Mr . Mrs . or Ms . , but the problem is I don't know the name of contact person . 	1.0  You can just put Dear Sir or Madam , officialese not personal , you can write to whom may concerned . 
0.0 I am going to cambridge from birmingham new street.	1.0 There are 5 trains available, may I book one for you that leaves at 7:40 and arrives at 10:23?
0.0 How about one that serves British food	1.0 There are two places Graffiti and Travellers Rest which would you like to try?
0.0  I believe so . 	1.0  Good . I hope it doesn't cool off this weekend . 
0.0 I am planning a trip in Cambridge	1.0 great, what can i help you with?
0.0 Thank you goodbye	1.0 enjoy your meal!
0.0  Well , it looks like his encouragement paid off Rebecca . So how about extracurricular activities at University ? 	1.0  Well I ’ Ve always been keen on writing , so I became the editor for the University student newspaper , which I really loved . Also I volunteered for a group called Shelter , to help the homeless in York . 
0.0 Hi there ! I am looking for a new car . I have this old Ford Pinto that I would like to trade in . 	1.0  I see . You are in luck this month because all of our models are on sale ! it is a perfect time to buy a new car since it ’ s the end of the year . 
0.0 Yes please, thank you for your help. The reference number will come in handy.	1.0 I'm sorry at the moment I can not obtain that for you.
0.0 What's their postcode?	1.0 The postcode for Clare College is cb21tl. Is there anything else I can help you with?
0.0  we can buy a three-liter bottle . It works out cheaper per liter . We should buy a packet of butter and a few pints of milk too . 	1.0  I ’ d like to get a jar of strawberry jam and a bottle of tomato ketchup . Do we need any meat ? 
0.0  Yah , but it doesn't have a red one . 	1.0  Do you need every color in the rainbow ? 
0.0 May I have 5 tokens ? Here is the money . 	1.0  Here you are . 
0.0  I see , and how about the documents and the information ? 	1.0  All the necessary documents and the information relevant to the meeting should be available , preferably printed and distributed before the meeting . 
0.0 As we know , mobile phones bring people great convenience and shorten the distance among friends and relatives . 	1.0  It bears a great many of advantages , but also some weak points . 
0.0 are you cat lover?	1.0 very special to me, funny you :)
0.0 Can you give me the contact info for the nearest police station?	1.0 Sure! The Parkside Police Station is located at Parkside, Cambridge and can be reached at 01223358966.
0.0 and what area is it in?	1.0 It is in the east. Is there anything else you need?
0.0  so are you enjoying your new job ? 	1.0  it's much better than my old one . My new boss is great . 
0.0 That's two for me and one for you . 	1.0  That's not fair ! 
0.0 Sounds great. Can you buy me two tickets?	1.0 Your booking was successful. You will be paying 35.20 at the station and your reference number is VAJDAW8J . Can I help you further?
0.0  Do you want it with everything ? 	1.0  No . Don't put mustard in it . 
0.0 I'm looking for something to do in the centre, what do you have?	1.0 There is a lot to do in the centre. What type of attraction are you most interested in?
0.0  Well , will you please put them down ? 	1.0  I'm sorry . I thought you wouldn't come back so early . 
0.0 No, that will be all. Thank you very much for your help!	1.0 Please feel free to contact us back if you have any issues during your travels.
0.0 Hello	1.0 Are you there ?
0.0 No thanks, you were very helpful, have a nice day.	1.0 Your welcome, have a great day. Goodbye.
0.0 Hello! 👋 	1.0 
0.0 How are you?	1.0 I am great, thanks. How are you ?
0.0 Can you find me a guesthouse with free parking?	1.0 I certainly can look for that for you. It looks like I have several. Do you prefer a certain price range?
0.0 how about italian?	1.0 Sure, there are two such restaurants. How about Pizza Express, at Regent Street City Centre? Would you like to book a table?
0.0 Good morning . I ’ m thinking about buying some new furniture for my living room . Could you help me ? 	1.0  Certainly . As you can see , we have several three-piece suites on sale . Feel free to sit down and test how comfortable they are . 
0.0 How about a museum?	1.0 There are a few available. I highly suggest Cambridge Artworks located on 5 Greens Road. Do you need any information?
0.0  Is this your handbag ? 	1.0  Yes , it is . Thank you very much . 
0.0 I am leaving from Bishops Stortford and heading into Cambridge.	1.0 The earliest option would leave at 11:29. Shall I book it for you?
0.0 Yes, I need it for Friday, 20:00, for 7 people. I need a reference number. I need a taxi betweentwo places before 20:00. Contact # and car type?	1.0 You're all set. The table will be available at 20:00 - they can only hold it for 15 minutes, though. Your Reference number is : 3V82NNNZ .
0.0 I'm departing from frankie and bennys.	1.0 Great. And now I will just need a time from you.
0.0 i do not have any , but i do have a lot of friends .	1.0 Do you have ?
0.0 I am a activist, I love animals	1.0 okay whatever
0.0  Is there a better tailor's around here ? 	1.0  No , there is not , as far as I know . 
0.0 Could I have the addresses and postcodes for all of them please?	1.0 I can give you that information once we narrow down your interest to a few locations. What type of attraction are you looking for?
0.0 I need a restaurant located in the centre please.	1.0 There are three options which are centrally located, would you like to try the Lan Hong House?
0.0 That would be great. I just need 1 ticket and my reference number please.	1.0 Booking was successful, the total fee is 10.1 GBP payable at the station. Your reference number is PPDCGT1H . Anything else?
0.0  I ’ ll till the soil and then sow the seeds . I ’ ll then add some fertilizer and voila ! Gardening all done ! 	1.0  Well , good luck with your garden , especially considering we are in the dry season and it won ’ t rain for the next three months ! 
0.0 I prefer hotels. Moderately priced.	1.0 I would recommend the ashley hotel. Would you like more information?
0.0  It ’ s a great school . 	1.0  I completely agree . 
0.0 Yes please. I need to book it for 7 people. Can I please get the reference number after it's booked?	1.0 I have it booked for you. The total fee is 100.24 GBP and the reference number is JIXSCT7D . Is there anything else I can help you with?
0.0 it is called parkside pools. find me their post code.	1.0 I cannot locate the restaurant you are speaking of.
0.0 That is all I needed thank you for your help.	1.0 Ok. Enjoy your stay, and have a nice day.
0.0  Well , now we should turn back a few kilometres . 	1.0  It seems that the traffic sign is much more important than the map . 
0.0 ( At the MET station ) Hurry up ! We are running late for school . 	1.0  Let's take the MET . lt's faster and cheap . 
0.0 You have done an excellent job this year and we are pleased with the results . 	1.0  I am glad that you have been happy with my performance . 
0.0 What area is that in please? The format you sent that in is very confusing.	1.0 That is in the centre of the city.
0.0 Hey , How's it going ? 	1.0  Not good . I lost my wallet . 
0.0 Do they serve chinese food?	1.0 No they do not serve Chinese food, however the Yu Garden does and is in the east side.
0.0 Sure, for 8 people please.	1.0 TR4170 leaves leicester at 9:09 and arrives in cambridge on Friday at 10:54. 8 tickets are booked, reference #: CL4V2583 . Do you need further help?
0.0 Choose one and surprise me. And book it for 6 people on thursday at 13:15. I'll need the reference number	1.0 It appears our booking system is down. Is there anything else I can do for you?
0.0 You have helped me with everything I need today. Thank you! That will be all.	1.0 Have a great time.
0.0  Oh , we're lucky today , aren't we ? 	1.0  I'd rather take stewed cabbage with beef . 
0.0 Hello there ! Come on in ! Don ’ t just stand there ! Come and take a seat ! 	1.0  Um , okay . Well , I just want a trim . Nothing too fancy . 
0.0 wow, it is intresting	1.0 I love to make it.
0.0 Can you try a different restaurant?	1.0 How about curry prince? It is also located in the east.
0.0 Yes I need a taxi to travel between the two places and would like to leave the attraction by 04:00 please.	1.0 A taxi has been booked. The contact number is 07045457153, in case you have any questions.
0.0 I do not. I am a student.	1.0 I'm sorry for you. What are you studying?
0.0 No, i just like football, basketball, and basketball, and sports.	1.0 that is an intresting answer :D
0.0  Well , we'll certainly miss you here . 	1.0  I am going to miss you , too . 
0.0 No, that's it. You've been very helpful, thank you!	1.0 You're quite welcome. Thanks for contacting the Cambridge TownInfo Centre and have a great day!
0.0 Hey , where's Cindy ? 	1.0  She told me that she's got tennis practice today . 
0.0  Roast beef . 	1.0  There must be a mistake . Those are fried oysters . Would you like to keep it or change ? 
0.0  Just the necessities 	1.0  Are you planning a trip to the Outback ? 
0.0 I will be needing a taxi from broxbourne train station	1.0 Sure thing, when would you like to arrive or leave by?
0.0 How about a French restaurant in any price range?	1.0 Cote is a French restaurant in the city centre in the expensive price range.
0.0 Give me the address, please.	1.0 The address is colville road, cherry hinton. Can I help with anything else?
0.0  Actually , why don't we go there by bike ? We could get stuck in traffic if we travel by bus in rush hour . 	1.0  That's true . Cycling is good for our environment , too . Let me just get my helmet then . 
0.0 Yes, I actually just needed the train number, so thank you.	1.0 Can I help you with anything else today or can I book your train ticket for you?
0.0 No thanks, just gathering information, that is all I need.	1.0 Can I help you with anything else?
0.0  Should I tell my bank that I have made an offer ? 	1.0  There really isn ’ t anything else to do right now except wait . You are already pre-qualified for your loan . 
0.0 /start	1.0 do you like italian food?
0.0 Yes for 5 people please.	1.0 The booking was successful the total price is 89.5 that you can pay at the station and your reference number is 4NA0WK3R .
0.0 😢	1.0 Why not? I'm sorry.
0.0 Do you have any in the East?	1.0 We have one and it's called The Missing Sock. Would you like a booking.
0.0  Could you sign each cheque here for me ? 	1.0  Sure . 
0.0 Are you excited about your trip next month ? 	1.0  Yes and no . I can ' t wait to go to Europe , but at the same time I am terrified . 
0.0 Actually that is all. Have a lovely day.	1.0 Here is the address and telephone number of the hotel, so can arrive without any problem.
0.0 Please explain "weird"	1.0 so i usually hold on my contacts , i am going to be a doctor like my uncle .
0.0  Yeah . I think I can find it . 	1.0  You're back already . That sure was quick . 
0.0 I'm not sure.	1.0 How old are you?
0.0  That's too bad , anyway , I'm sure things will turn around next semester . 	1.0  I'm thinking of dropping out . 
0.0 Hurry up , get in . 	1.0  I ’ m in , let ’ s go ! 
0.0 Hi, can you fill me in on some details about a place called jesus green outdoor pool, please?	1.0 It's a swimming pool in the North. Phone # is 01223302579 and it's between victoria road and the river. Anything else I can help you with?
0.0  You're pretty lucky actually , today is higher than yesterday . It's 824 . 71 RIB for 100 USD . 	1.0  Great ! Do you need me to sign anything ? 
0.0 It needs to have free parking.	1.0 They both have free parking. I'd recommend the University Arms Hotel in the centre. Can I book this for you?
0.0 I like the color blue.	1.0 My favorite movie is mean girl
0.0  What is your nationality ? 	1.0  Han . 
0.0 I'm looking for info about a restaurant in Cambridge called Little Seoul.	1.0 Of course, the address is 108 Regent Street City Centre, postcode cb21dp. Did you want the phone number as well?
0.0 I am. I am a very good person.	1.0 No, you are not!
0.0 I am also in the market for a new restaurant. Is there something in the centre of town?	1.0 There are 69 restaurants in the centre. Can I narrow it down by price for you?
0.0  sounds great . Do they serve noodles ? I am in the mood for some tasty noodles as well . 	1.0  yes . The sliced noodles they offer are among the most authentic Shanti cuisines . 
0.0 I need to leave after 20:00.	1.0 I have 4 trains that match your criteria. The first leaves at 20:11, then 21:11. 22:11 and 23:11. Which one would you like to book?
0.0 Thank you! Goodbye!	1.0 You're welcome, have a great day.
0.0 Yes they sure have, thanks!	1.0 Thank you, goodbye.
0.0 I need a train to Cambridge on Wednesday as well.	1.0 Where will you be departing from? Do you have a specific time you need for departure or arrival?
0.0 Great! May I have their contact number?	1.0 The contact number for Churchill College is 01223336233. Are you ready to book that taxi now that we know which college you are wanting to travel to?
0.0 I'm looking for a 3 star place to stay that includes free parking.	1.0 I have five places that fit your requirements so far. What part of town would you like to be in and what is your pricerange?
0.0 You can book it from the Aylesbray.	1.0 I have booked your taxi and your contact number is 07276055179. Be on the lookout for a white honda.
0.0 Thank you! It does not matter to me.	1.0 aylesbray lodge guest house is moderate and in the south. would you like to book a room now?
0.0  All right . The police and an ambulance are on the way . In the meantime , find a clean cloth and press it firmly over the wound . This will slow the bleeding . 	1.0  I will , but please hurry . 
0.0 Thank you. Can you also tell me the address for Saigon City, please?	1.0 the address for saigon city is 169 High Street Chesterton Chesterton
0.0 I need a guesthouse in the moderate price range that includes free parking.	1.0 We have 14 places matching your criteria. Lets narrow this down. Is there an area you prefer?
0.0 Yes, I was looking for a particular attraction, Saint Catharine's College. What area is it located in?	1.0 It is located in the centre. Admission is free.
0.0 Excuse me , do you have A tale of Two Cities ? I'd like a copy of it . 	1.0  Who is the author ? 
0.0 No I think that was it. Thank you	1.0 Thank you for using our service today!
0.0 I will leave from Kings Lynn on Thursday.	1.0 i can help you with that. do you know what time you want to leave or arrive?
0.0 The side of town isn't important to me, as long as it is on the pricey side.	1.0 The Oak Bistro is a nice place would you like to try that one ?
0.0 That's everything I need. Thank you for helping me.	1.0 Thank you for using our service today.
0.0 So what are you doing for Thanksgiving ? 	1.0  Not much really . It's more of an American tradition , so back home we don't really celebrate it . In fact , I am not even sure of what exactly is being celebrated ! 
0.0 Yes please book TR6524 on tuesday leaving at 14:45 going to norwich from cambridge. Please confirm departure time. Thank you.	1.0 Will you only need 1 ticket? The train will leave Cambridge at 15:36.
0.0 How are you doing today ? 	1.0  Good . Thanks for asking . 
0.0 😊	1.0 I don't understand you 🙈
0.0  Is it the same practice for all families ? 	1.0  Not all the same nowadays I must say . Many families , especially those of newly married couples , choose to make an overseas trip to escape the routines . Rose and I had a tour to Singapore , Malaysia , Thailand and Hong Kong last year . We stayed there for two weeks until the last day of the holiday . 
0.0 The type of food doesn't matter to me, but I would like the restaurant to be in the north.	1.0 Okay there is indian and italian food. Which do you prefer?
0.0 Thanks, i also need a taxi between the two places. I need to get there by 22:00	1.0 Sorry, can you clarify which is the destination and which is the departure site? I know you want to arrive by 22:00 but at which place?
0.0 I am 25 years old.	1.0 but you said you're 21
0.0 Good morning , sir . May I see your passport ? 	1.0  Yes , of course . Here it is . 
0.0 Good afternoon . I've brought the extra blanket you asked for . 	1.0  Oh , thank you . 
0.0  Very well . Do you have any bags to check ? 	1.0  No , I just have this one small bag . 
0.0 Sure. Can you book a reservation for the same group of people on the same day at 17:15? And give me the reference number please.	1.0 Your reservation is booked, and the reference number is I2WJ41ZB . Is there anything else I can do for you?
0.0  How long will it take ? 	1.0  About a week . 
0.0 Can you give me the phone number?	1.0 The phone number is 01223334900.
0.0 I would like to know which type of food Nandos is serving.	1.0 Nandos serves Portuguese food. Will there be anything else I can help you with today?
0.0  OK , I'll come back to discuss it to some details after our users have studied your catalogues and price list . 	1.0  Yes , surely . We hope to do some substantial business with you . 
0.0  And anything else ? 	1.0  I have taken some courses in college , such as translation , business English , and so on . So I have a good mastery of both spoken and written English 
0.0  really impressive . These two genres are totally different . 	1.0  sure . I enjoy both of them very much . 
0.0 I am a professional wrestler in wwe.What is your job?	1.0 I work at a local.
0.0 Either one, but I insist on 4-star quality.	1.0 How about Arbury Lodge guesthouse? It is in north, is moderately price with free wifi and has 4 stars.
0.0 Yeah, that reminds me… I have to go eat something. Bye!	1.0 I like to eat out and eat a lot
0.0 Yes, I would like eat Indian food, where I can eat Search Chicken Tikka Masala.	1.0 I'm sorry, there is nothing showing for Chicken Tikka Masala. There are however 5 expensive Indian restaurants in the west part of Cambridge. I would recommend the Rice Boat.
0.0  Sure . Can you get it yourself ? It ’ s in the refrigerator . 	1.0  Ok . Would you like a drink too ? 
0.0 Hi! 	1.0 
0.0 It is nice to see you 😊	1.0 
0.0 How is your day?	1.0 Hellow
0.0 Great, can you book me a table for Wednesday?	1.0 How many in your party?
0.0  I'm not sure , but as far as I know , most factory tours are free . They are sponsored by the company providing the tour . 	1.0  Really ? What do the companies do that for ? 
0.0 Great, could you send me the postcode to Galleria?	1.0 Their postcode is CB21UW. Can I help you with anything else?
0.0 It's almost Christmas . What are you doing this weekend ? 	1.0  Nothing special , just working . Why do you ask ? 
0.0 Yes their postcode and whether they have free parking or not.	1.0 The postcode for the nandos is cb17dy
0.0 I really don ’ t understand my parents . They always make light of my worries . 	1.0  They think you are just a child . 
0.0 Which one would you suggest and what is the entrance fee?	1.0 Sidney sussex college will be a mind blowing experience, would you like more information?
0.0 Yes, that should be perfect thank you.	1.0 Would you like me to book you a room? If so, i will need how many people and nights you will be staying and on what day.
0.0 i am not sure what that is .	1.0 What are you not sure of?
0.0 That's good information.	1.0 I want to tell you something about me. I am so happy I am not very good at it.
0.0  You can taste some before you buy it . They have food tasting at the counter . 	1.0  I am starting loving this bakery now . 
0.0 i work in school as a teacher and you	1.0 What do you teach?
0.0 It doesn't matter but can you find one in the expensive price range?	1.0 In that case, I recommend University Arms Hotel. It's in the same area as the restaurant and may be more convenient.
0.0 Yes, two tickets please.	1.0 Booking was successful, the total fee is 16.16 GBP payable at the station. The Reference number is: SDRN9BTG .
0.0 I need the postcode please.	1.0 here you go cb236bw
0.0 Why is little Billy crying ? 	1.0  He got a scolding . 
0.0  Well , I think you ' Ve reconsidered our proposal , Diane . 	1.0  Yes , you are right . After all , the quality of your air conditioners is good . The only problem is price . 
0.0 I'm also looking for places to go in town. The attraction should be in the south and should be in the type of college.	1.0 I'm sorry. There are no colleges in the south. Would you like me to try another area?
0.0 Well , tell me something of yourself . 	1.0  What would you like to know , Mr . Green ? 
0.0 I want to arrive by 19:30 please	1.0 Train TR9495 arrives at 19:08. Would you like to purchase tickets?
0.0 This is the house I want to rent . 	1.0  Could you tell me the advantages of it ? 
0.0  I hate dentists . 	1.0  Well , suffer then . If you have a toothache , you have to go to the dentist . 
0.0 That would work yes, can I have their phone number and postcode?	1.0 Of course, the phone number is 01223361763 and the postcode is cb21db. Would you like me to book you a table?
0.0 Which one includes free parking? I don't need internet included.	1.0 Both of them have free parking.
0.0 Great, thanks a bunch! I'm all set now. Goodbye	1.0 Thank you for using our service. Goodbye!
0.0 I am a dog person, I love him	1.0 can you give me the next weeks lotto numbers?
0.0 That doesn't matter as long as I'm in the east part of town.	1.0 I'm sorry. There are no hotels matching that criteria in the area you are interested in.
0.0 Did Roll win the race ? 	1.0  Yeah , he did . But he only won it by a hair's breadth . 
0.0 Good morning.Mrs.Smith . 	1.0  Good morning ! Can you help me , please ? I'm looking for some books for my mother . 
0.0  And then ? 	1.0  Well , when the finish is dry , the table is done . 
0.0 Are you sure that this is the place to wait for our school bus ? 	1.0  Yeah . Look , other kids are coming this way . 
0.0 i don't take that for granted. thanks	1.0 I hope you have a wonderful stay, and please feel free to holler if you need anything else! Goodbye!
0.0  But what you should do is study hard . 	1.0  I know ... I know ... it's all my fault . I feel awful that I didn ’ t study , and I cheated , and I got caught . 
0.0 Hey! What's up? 😅.	1.0 
0.0 I do like to talk about myself, i don't like chicken	1.0 Hello there. I'm fine. my family and i are from india. where are you from?
0.0 Hi , John ! I haven ’ t seen you for ages . 	1.0  Hi ! Yes , it ’ s been a long time . I ’ m really glad to see you . 
0.0 Are you here yet?	1.0 I'm here to see you
0.0  Tell me what you need . 	1.0  All right . I'm prepared to , if the pay is reasonable . 
0.0 The train should leave on thursday and should depart from cambridge.	1.0 I have train TR5504 leaving 11:59 and arriving at 13:27 with a travel time of 88 minutes. Should I get you tickets?
0.0  I have to do some things , and besides , it's not polite to be nosey . 	1.0  I'm not being nosey . I'm just asking . 
0.0  Do you want any fries ? 	1.0  Let me get some large curly fries . 
0.0 Yes, please. And I will need the reference number.	1.0 I have booked the Hamilton Lodge for you. Starting on Saturday for 2 nights for 7 people. Your reference number is 63GDBABK . Is there anything else I can do for you?
0.0 I'm looking for train going to Cambridge.	1.0 There are 1414 trains heading to cambridge, what is your departure location?
0.0 No, I believe that is everything. Thank you!	1.0 You are most welcome. Enjoy the museum.
0.0 May I have the postcode as well ?	1.0 Here you go cb30ad
0.0 How about your grades of study ? 	1.0  I had been doing quite well . In all subjects , I got excellent scores . 
0.0 Yes, book a table for 2 people at 19:15 on Sunday.	1.0 Ok. I was able to book a table for you. Your reference number is BTKETES2 .
0.0 Pick a place for me. I need the postcode.	1.0 There is a cinema Cineworld cinema with postcode cb17dy.
0.0 Thanks for your help!	1.0 Thank you for using our service today!
0.0 What is the entrance fee there?	1.0 Admission is absolutely free!
0.0  We have reduced emission of air pollutants in recent years , but cars are still a major source of them . Factories have become cleaner as stricter environment pollution law have been introduced . 	1.0  The problem is now on a truly global scale . I don't believe that any single country can do anything about it . 
0.0 Great, can you please book a table for 2 at 19:30 on Monday?	1.0 Yes, I will book your table for 2 at the Golden Wok on Monday at 19:30, would you like a reference number?
0.0 What about a museum?	1.0 The Broughton House Gallery meets your criteria, would that work?
0.0  Do I need to buy anything else ? 	1.0  All she has to do is open the box and follow the instructions . 
0.0 You are not in a dialog. Complaining is not available	1.0 Searching for peer. Please wait...
0.0  Oh . Take it easy . As I ’ Ve said in the interview , once you are employed , we ’ ll give you a probation period of three months . And now we need to sign a draft agreement for the probation period . 	1.0  I am sorry , I am just too excited and forget it . Can I look it through ? 
0.0  How can you finance your education abroad ? It is very expensive to study abroad . 	1.0  I think I will try to get the scholarship since I really don't have so much money to study abroad . Actually now I am preparing for the TEFL and GRE exams . If I can get high marks in the two exams and if I am lucky enough , I may get a scholarship . 
0.0  Bad luck , Anne . 	1.0  Hey ! How about your history teacher ? 
0.0 Before you go--I'm a bit confused. Is the taxi picking me up at the college? At what time? I need to make my reservation at 13:45.	1.0 Yes, it's picking you up there and taking you to the restaurant in time for your reservation.
0.0  Actually , we are famous for our Cuervo Gold margaritas . 	1.0  That sounds good ! Please bring me one of those . 
0.0 That sounds sarcastic.	1.0 Sorry
0.0 Yes. I would like help in locating a place to go in town. A college in the east part of town.	1.0 There are no colleges in the east area of town. Would you like to check a different area or different type of attraction?
0.0 I am not sure what that is. I am a hippie do you hate the color pink?	1.0 i dont hate pink
0.0  All right . May I have your name , Sir ? 	1.0  My name is Ron Kollwitz . 
